Surah_Number,Ayah_Number,Ayah_txt,Ayah_txt2,Surah_Name,Index,Ayah_total_num,Ayah_index
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,بسم الله الرحمٰن الرحيم,سورة الفاتحة,S1_A1,0,1.0
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,الحمد لله رب العٰلمين,سورة الفاتحة,S1_A2,0,2.0
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,الرحمٰن الرحيم,سورة الفاتحة,S1_A3,0,3.0
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,مٰلك يوم الدين,سورة الفاتحة,S1_A4,0,4.0
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,اياك نعبد واياك نستعين,سورة الفاتحة,S1_A5,0,5.0
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,اهدنا الصرٰط المستقيم,سورة الفاتحة,S1_A6,0,6.0
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,صرٰط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين,سورة الفاتحة,S1_A7,0,7.0
2,1,الٓمٓ,الم,سورة البقرة,S2_A1,0,8.0
2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ذٰلك الكتٰب لا ريب فيه هدى للمتقين,سورة البقرة,S2_A2,0,9.0
2,3,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ,الذين يؤمنون بالغيب ويقيمون الصلوٰة ومما رزقنٰهم ينفقون,سورة البقرة,S2_A3,0,10.0
